,giga_id_school,latitude,longitude,bin_internet_availability,bin_electricity_availability,norm_fiber_node_distance,norm_nearest_LTE_distance,norm_nearest_UMTS_distance,norm_nearest_GSM_distance,norm_nearest_mobile,norm_microwave_node_distance,norm_DTR_score
448,e11fbdf1-61f3-3a72-b98a-dfbd96c7be70,-22.020755,26.7905703,0,0,0.33678253839935324,0.21809099138364574,0.24318973709217612,0.20815776167200403,0.20822448807617763,0.36564566655064396,0.0231
449,7550f09a-841c-3ef0-b299-f2ac3547eadb,-22.6126296,27.3315306,0,0,0.17267582861762326,0.08777282328091998,0.1662179284130504,0.11503455250294961,0.11510912614814191,0.506265227984685,0.00181
450,b1c2e07c-46ff-3a90-9644-7d8c9240c170,-23.98127,25.2430113,0,0,0.1990299110751819,0.28182519194018846,0.2028032942667089,0.21574245744142928,0.21580854470380045,0.6808431952662722,0.00712
451,55d61803-9a3c-3625-8555-3c4160da06fe,-20.1133617,26.2464682,0,0,0.09999999999999999,0.5896670801622691,0.09257206208425721,0.05115455924490139,0.05123451588438527,0.20749216846501914,0.00071
452,170900b9-809b-3c48-9378-7c1ad22e7254,-20.582424,27.6081623,0,0,0.04284559417946645,0.21835920474737658,0.0505226480836237,0.012725434013146807,0.012808628971096317,0.12064914723285763,0.00116
453,a5b3db4d-cb7b-3162-a1b6-0f551a42bb31,-20.85382,27.2497613,0,0,0.008245755860953921,0.14708150333590372,0.028032942667089007,0.013736726782403506,0.013819836521446026,0.08884441350504697,0.00117
454,5544fc2a-d829-3abd-b9d2-05ddfb23e400,-22.7679,26.7898713,0,0,0.3063055780113177,0.1333020417742314,0.207158694963573,0.00699477498735884,0.0070784528524479645,0.5017620953706926,0.0174
455,8b5e400e-6298-3990-9263-38c282015a12,-21.230077,26.4255723,0,0,0.5569927243330639,0.3790190096221545,0.29284130503642697,0.048794876116635764,0.04887503160023595,0.22304646710755308,0.000399
456,5102d050-9987-3c46-a27b-b0e341dd706c,-24.3233556,25.2280707,0,0,0.2316895715440582,0.21058101719918196,0.10516312955337347,0.08199898870723075,0.0820763461700514,0.7633353637312914,1e-05
458,6b697101-b7b4-3d07-9bcf-e7782743bbad,-21.368892,27.4507423,0,0,0.06831042845594179,0.06782445435343816,0.0015837820715869496,0.00252823192314175,0.0016853459172495155,0.22060998955795336,0.0008
